state,year,value
West Bengal,2006-07,5928.0
Lakshadweep,2006-07,
Rajasthan,2007-08,6337.0
Sikkim,2007-08,
Tamil Nadu,2007-08,21042.0
Telangana,2007-08,
Tripura,2007-08,340.0
Uttar Pradesh,2007-08,10717.0
Uttarakhand,2007-08,1475.0
West Bengal,2007-08,5987.0
Lakshadweep,2007-08,
Rajasthan,2008-09,6352.0
Sikkim,2008-09,
Tamil Nadu,2008-09,26122.0
Telangana,2008-09,
Tripura,2008-09,363.0
Uttar Pradesh,2008-09,10935.0
Uttarakhand,2008-09,1907.0
West Bengal,2008-09,6260.0
Lakshadweep,2008-09,
Rajasthan,2009-10,6811.0
Sikkim,2009-10,46.0
Tamil Nadu,2009-10,26790.0
Telangana,2009-10,
Tripura,2009-10,407.0
Uttar Pradesh,2009-10,11015.0
Uttarakhand,2009-10,2344.0
West Bengal,2009-10,6818.0
Lakshadweep,2009-10,
Rajasthan,2010-11,8172.0
Sikkim,2010-11,64.0
Tamil Nadu,2010-11,36848.0
Telangana,2010-11,
Tripura,2010-11,472.0
Uttar Pradesh,2010-11,13756.0
Uttarakhand,2010-11,2739.0
West Bengal,2010-11,8232.0
Lakshadweep,2010-11,
Rajasthan,2011-12,8444.0
Sikkim,2011-12,61.0
Tamil Nadu,2011-12,36996.0
Telangana,2011-12,
Tripura,2011-12,446.0
Uttar Pradesh,2011-12,14090.0
Uttarakhand,2011-12,2843.0
West Bengal,2011-12,8402.0
Lakshadweep,2011-12,
Rajasthan,2012-13,8782.0
Sikkim,2012-13,65.0
Tamil Nadu,2012-13,36869.0
Telangana,2012-13,13656.0
Tripura,2012-13,534.0
Uttar Pradesh,2012-13,14440.0
Uttarakhand,2012-13,2911.0
West Bengal,2012-13,8607.0
Lakshadweep,2012-13,
Rajasthan,2013-14,8820.0
Sikkim,2013-14,66.0
Tamil Nadu,2013-14,37378.0
Telangana,2013-14,14110.0
Tripura,2013-14,552.0
Uttar Pradesh,2013-14,14463.0
Uttarakhand,2013-14,2936.0
West Bengal,2013-14,8859.0
Lakshadweep,2013-14,
Rajasthan,2014-15,8986.0
Sikkim,2014-15,67.0
Tamil Nadu,2014-15,37878.0
Telangana,2014-15,14427.0
Tripura,2014-15,548.0
Uttar Pradesh,2014-15,14867.0
Uttarakhand,2014-15,2987.0
West Bengal,2014-15,9112.0
Lakshadweep,2014-15,
Rajasthan,2015-16,9049.0
Sikkim,2015-16,68.0
Tamil Nadu,2015-16,37331.0
Telangana,2015-16,14874.0
Tripura,2015-16,558.0
Uttar Pradesh,2015-16,15291.0
Uttarakhand,2015-16,2978.0
West Bengal,2015-16,9300.0
Lakshadweep,2015-16,
Rajasthan,2016-17,9026.0
Sikkim,2016-17,71.0
Tamil Nadu,2016-17,37220.0
Telangana,2016-17,15028.0
Tripura,2016-17,585.0
Uttar Pradesh,2016-17,15294.0
Uttarakhand,2016-17,2987.0
West Bengal,2016-17,9587.0
Lakshadweep,2016-17,
Rajasthan,2017-18,9212.0
Sikkim,2017-18,82.0
Tamil Nadu,2017-18,37787.0
Telangana,2017-18,15263.0
Tripura,2017-18,607.0
Uttar Pradesh,2017-18,15830.0
Uttarakhand,2017-18,2998.0
West Bengal,2017-18,9534.0
Lakshadweep,2017-18,
Rajasthan,2018-19,9424.0
Sikkim,2018-19,84.0
Tamil Nadu,2018-19,38131.0
Telangana,2018-19,15167.0
Tripura,2018-19,621.0
Uttar Pradesh,2018-19,15854.0
Uttarakhand,2018-19,3002.0
West Bengal,2018-19,9420.0
Lakshadweep,2018-19,
Rajasthan,2019-20,9694.0
Sikkim,2019-20,84.0
Tamil Nadu,2019-20,38837.0
Telangana,2019-20,15271.0
Tripura,2019-20,657.0
Uttar Pradesh,2019-20,16184.0
Uttarakhand,2019-20,2969.0
West Bengal,2019-20,9650.0
Lakshadweep,2019-20,
Rajasthan,2020-21,9886.0
Sikkim,2020-21,84.0
Tamil Nadu,2020-21,39393.0
Telangana,2020-21,15342.0
Tripura,2020-21,680.0
Uttar Pradesh,2020-21,16503.0
Uttarakhand,2020-21,2988.0
West Bengal,2020-21,9863.0
Lakshadweep,2020-21,
Rajasthan,2021-22,10237.0
Sikkim,2021-22,84.0
Tamil Nadu,2021-22,39512.0
Telangana,2021-22,13251.0
Tripura,2021-22,682.0
Uttar Pradesh,2021-22,17481.0
Uttarakhand,2021-22,2978.0
West Bengal,2021-22,9727.0
Lakshadweep,2021-22,
Rajasthan,2022-23,10528.0
Sikkim,2022-23,90.0
Tamil Nadu,2022-23,39666.0
Telangana,2022-23,13063.0
Tripura,2022-23,699.0
Uttar Pradesh,2022-23,19102.0
Uttarakhand,2022-23,2870.0
West Bengal,2022-23,10237.0
Lakshadweep,2022-23,
Rajasthan,2023-24,10868.0
Sikkim,2023-24,87.0
Tamil Nadu,2023-24,40121.0
Telangana,2023-24,13446.0
Tripura,2023-24,702.0
Uttar Pradesh,2023-24,22141.0
Uttarakhand,2023-24,2897.0
West Bengal,2023-24,10107.0
Lakshadweep,2023-24,4.0
